,Unnamed: 0,Unnamed: 0.1,index,tweet,class,norm
0,0,0,2555,Kat is one of those rare pieces of trash that get even uglier when she smiles #MKR,sexism,1
4,4,4,1196,@BoomSlang321 Outlaw Islam!,racism,0
5,5,5,5119,RT @Cgeddings911: @ldyjerie @YesYoureSexist I guess I would be a safer driver too if I did ten under the speed limit. Not trying to be mean,sexism,1
6,6,6,2239,#MKR the Sassy girls having a blonde moment!,sexism,1
7,7,7,974,@ajwatamr @ExposeFalsehood And they would be right. The Quran and Hadith clearly declared war on all mankind 1400 years ago.,racism,0
9,9,9,1460,@Bruciebabe @MaxBlumenthal Islam is at war with every other religion and non religion on the planet. But idiots claim the fault is the Jews.,racism,0
12,12,12,5224,"Valentine's Day is great and all, but I'm holding out my real enthusiasm for Love Day: https://t.co/YlK19wSlk4",sexism,1
14,14,14,1142,"RT @Madasatrain69: @OZzSue @Muslim_Patrol @sneekinsneekout
Read an Islamist's tweet. http://t.co/7uAkhcWAvl
Insane.
Life denying. Heartless…",racism,0
16,16,16,1756,"@congressman_aly Well idiot, I see that every native minority in every Muslim country is a shrinking minority due to Muslim persecution.",racism,0
26,26,26,3339,@DazzyTheMermaid @Bbrad5150 ...to racists.,sexism,1
31,31,31,2879,"RT @p4ndiamond: i love equal rights, fuck men , i love men , men are rapists ,not all men i care about MGM , LOL HIS DICK GOT CUT OFF #Twee…",sexism,1
32,32,32,2067,Think these two girls have wayyy to many tickets kn themselves #MKR  #PromoGirls #promogirls i think not,sexism,1
35,35,35,5022,RT @Rildom1: @urmindblown wind shield wipers were not invented by women first was Robert A Douglass I'm not sexist but that fact is wrong,sexism,1
39,39,39,1594,"@Wonderstroke Mohammed was suppose to be guided by god, and his example was for all mankind for all time. He was not suppose to follow.",racism,0
41,41,41,2897,RT @BloodmouthView: #TweetLikeAFeminist  #GamerGate an outlandish satirical piece of writing that takes a hearty stab at new Feminism http:…,sexism,1
46,46,46,17,"In Islam women must be locked in their houses, and Muslims claim this is treating them well. http://t.co/rVO5TrXmZt",racism,0
48,48,48,5165,LOL EDGY @ein_schoner_tag @shedevil___ @ahptik im not sexist but why are women allowed opinions lol,sexism,1
49,49,49,3201,@trishesdishes  No.  Name one men's right they fight for...,sexism,1
50,50,50,1035,"@discerningmumin No minorities of any kind are left in Saudi and several other gulf states, having been exterminated by Muslims.",racism,0
51,51,51,5190,"RT @Peggy_Olrenshaw Ghostbusters 3 with an all female lead cast will not work. I'm not sexist, but it's simply a bad idea. Lost interest now",sexism,1
55,55,55,1997,I've had better looking shits than these two! #MKR2015 #MKR #killerblondes,sexism,1
56,56,56,3882,"RT @HannahCamille20: Call me sexist, but females really need to stop acting like they are big football fans. Just stop.",sexism,1
57,57,57,555,@cdnKhadija @johnnygjokaj @98Halima @BilalIGhumman @rfrankh53 Tell me something that ISIS does that Mohammed did not do.,racism,0
59,59,59,1888,@dankmtl what they tell you is their intention is not their intention.https://t.co/8cmfoOZwxz,racism,0
65,65,65,739,"Islam is simply an excuse to rape, murder, loot, practice bigotry, sexism and hatred. The prophet Mohamed designed it to get thugs to follow",racism,0
71,71,71,3015,@DoctrineDark798 You should be able to save from here...right click or hold down on them and you should get a save option.,sexism,1
72,72,72,3675,"@Audmum1 So she needs to give David $3 million, I guess.",sexism,1
75,75,75,737,"@scamp_faridxx @AbuAlbaraaSham Yeah, it's called caring about human life, idiot - something a genocidal Daesh would'nt understand.",racism,0
77,77,77,1109,@truaemusic @mattybboi83 @Number10gov But Islam keeps trying to return to the 7th century.,racism,0
81,81,81,1352,"@mirebotan84 @RamiAlLolah Considering what those ""local Arabs"" did to Kurds, Christians, Assyrians, Ezidiz, etc., who cares.",racism,0
83,83,83,2158,#killerblondes more like #dumblondes #MKR,sexism,1
86,86,86,3495,"RT @MetalBarbieDoll: But yea, apparently #GamerGate women are sock puppets....lol. http://t.co/4WouDly45a",sexism,1
89,89,89,4065,"LOL OH YOU *TEE HEE HEE* @akidaffendi Yo fyi, I'm not sexist =_= i just like to piss off you girls x)",sexism,1
92,92,92,2014,WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??,sexism,1
93,93,93,3291,Yep except the study @Liberal_fem (the Artist Formerly known as Mich_something) offered's author says it does NOT prove bias @TamedInsanity,sexism,1
95,95,95,4043,"RT @Alfie_Game I'm not sexist, but why are women so easily confused?! #BusinessMinded?! Wouldn't have thought so",sexism,1
97,97,97,4649,RT @breez_15: @JakeDandrea_ @AnthonySammarco @YesYoureSexist feminists can suck my dick with their pinky in the air #classy,sexism,1
102,102,102,1194,@jncatron @dailydot Pigs like you never whine so loud at the hundreds of murders by Muslims every day around the world.,racism,0
105,105,105,1011,@WithTrish @JRehling The world is doing nothing. Islam is producing the terrorist activities and has been for 1400 years.,racism,0
108,108,108,3612,@mistaphill Honestly... Belzer or Ric Ocasek of the Cars...I'm torn...?,sexism,1
112,112,112,5162,RT @rgay: So you are actually complimenting someone when you refer to them as a vagina or as having a vagina.,sexism,1
114,114,114,3335,"@laurahollis61 @JustLaurenB He's a gay, known YouTuber.  I saw his video.  Unless he's Brando, it's real.",sexism,1
116,116,116,2305,"RT @PeteHattam: According to Holly from Geordie Shore, ""Sassy - halfway between slut and classy"" #MKR #MKR2015",sexism,1
118,118,118,968,@DawlatnaMansura The next step in warfare is the ground drone. A robot that will walk up to the Jihadi and blow out his brains.,racism,0
124,124,124,4772,"RT @BCONNfidence: I'm not sexist, but girl fights just plain suck. Whether its professionals or 2 girls on the street, I want no part of it…",sexism,1
126,126,126,520,"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.",racism,0
132,132,132,4858,RT @Barnflake: Saw a woman driving a lorry in town today. Some serious irony when it turned out to be the hoover lorry though. #NotSexist,sexism,1
133,133,133,5305,Oh fuck. Vicky and Celine are back 😒 #mkr,sexism,1
136,136,136,4273,RT @ryangowan29 I'm not sexist but i hate serving women! They're so unbelievanly fussy about their drinks,sexism,1
138,138,138,2772,Suck shit Kat you dumb shit. Go back into the swamp behind ya and shut the fuck up. #MKR,sexism,1
143,143,143,1639,"@nader_haq @MadDr11 @MaxBlumenthal These Muslims are babies are trained to kill, scum. http://t.co/jaWq72xkfF",racism,0
145,145,145,3057,"@hayleyjoness YW...?  Well, if you know that men and women do different jobs, why WOULD the pay be the same?",sexism,1
147,147,147,5058,"#AbuserDynamics @Kingdijk Girls should count themselves lucky if they got a guy that still shouts when his mad, means he cares",sexism,1
148,148,148,4046,RT @Matt2theRios: Hats off to girls who light their own weed. I don't understand why most girls can't handle the simple mechanics of a ligh…,sexism,1
152,152,152,4542,"RT @sunshineJafiwi: Back then, Men were in charge and women were obligated to them. Today, women are just as equal and even better. Not sex…",sexism,1
155,155,155,3936,"RT @roccopolis I'm no sexist, but I can't handle the female play by play announcer on espn2 Iowa vs. Michigan St. Nothing but stats vomit.",sexism,1
160,160,160,2377,Cat you're an ugly and mean bitch! You miss can go fuck yourself! #mkr,sexism,1
163,163,163,3679,RT @The_Loki_Jotunn: @MT8_9 Least we not forget the suffragettes handing out white feathers during WW1 @TonyChiaroscuro @SexyIsntSexist htt…,sexism,1
164,164,164,1217,"@UmarFarooq_ @FaheemHus @jackmjenkins The peaceful Q verses are pre Medina, Mecca verses when Mohammed had little power and was endangered.",racism,0
166,166,166,3943,"Referring to ""ret****d drivers,"" to boot. @CharlesssChan Worrrrrrd. Especially middle aged women. #notsexist #truthdoe",sexism,1
171,171,171,4827,RT @cheuya: Women who disavow feminism in the name of ~advocacy~ for ~men's rights~... http://t.co/ZyhosbrFFf,sexism,1
176,176,176,2106,RT @Jdubzlad: @mykitchenrules did you find Katie and Nikki in the line for Mt Druitt's next top model? #MKR,sexism,1
177,177,177,3386,@ENDSexAbuseNOW Who is to blame for that?,sexism,1
181,181,181,3416,RT @AllstateJackie: @MT8_9 I'M CRYING.,sexism,1
185,185,185,4484,RT @iAmThurnisHaley: Dont call me sexist or prejudice 90% of Females just have a different more sensitive mindset that makes them think eve…,sexism,1
187,187,187,861,@_Jihad10 @Rayandawlah_ The Islamic Golden age was driven by slavery and looting. The Jihadis are too lazy and stupid to produce anything.,racism,0
190,190,190,1949,"RT @Cameron_Gray: cc: Silent Western feminists

MT @ILNewsFlash: #ISIS Executes 7 Women For Refusing ‘Temporary Marriage’ (Rape) http://t.c…",racism,0
191,191,191,723,@obsurfer84 99% of all inventions come from the west. Islam has produced nothing in 1000 years. Mohammed was an illiterate who produced nada,racism,0
194,194,194,1428,@ummsuhaym @logicalmind11 Quran 8.12 would be a good example of terrorism. http://t.co/vonYOAtpfk,racism,0
195,195,195,2825,"@EnaLolena @Roostrwoodstock Oh look, another lying Putin paid internet propaganda bitch. http://t.co/1njm6SN8K5",sexism,1
197,197,197,5124,"RT @INKdaRapper: I made the mistake of reading that Christine Brennan article. I'm not sexist, but she really makes females journalists loo…",sexism,1
200,200,200,656,@Missy10013Kathy More of the same kind of burning by other Muslims. http://t.co/qG7AQjdGAQ #Islam,racism,0
204,204,204,3806,RT @sports2inflatio: Must put words in dead man,sexism,1
205,205,205,3120,@BlackOpal80 I'm blocked.,sexism,1
207,207,207,2532,I honestly think Kat has mental health issues. #mkr,sexism,1
209,209,209,4476,RT @classiccody: I can't stand working in an office with women who gossip the entire time #notsexist #notlearningmuch,sexism,1
210,210,210,5097,RT @SherlockHolmboy: I'm not sexist or anything I just dont think. A woman protagonist wouldn't fit in with the vulgarity of GTA. Unless th…,sexism,1
218,218,218,1535,@asem_1994 I'm not concerned with single events. I'm concerned with 1400 years of Islamic murder and barbarity that shows no sign of ending.,racism,0
221,221,221,3428,@abillionjillian Only if you are unaware that feminism and the Women's Rights Movement are not the same.,sexism,1
227,227,227,491,@anjemchoudary But Islam puts out the light and makes life too dark to bear.,racism,0
228,228,228,1440,@SamihNewsam Wrong. Islam didn't give women any rights and it imprisoned them in their houses. Remember Katjia was wealthy BEFORE Islam.,racism,0
229,229,229,2601,"#mkr if we have to see Kat on the TV past tonight, I'm out",sexism,1
230,230,230,2687,How is that rotten egg Kat not in sudden death?! #MKR,sexism,1
231,231,231,4109,RT @cielsolwazi: Not sexist but something ain't right when women calling a football game lol,sexism,1
235,235,235,4830,You're pure comedy to the WNBA. @itsshaqhoe Not sexist but WNBA is pure comedy to me .,sexism,1
240,240,240,1929,@MaxBlumenthal But who can blame him with his 24/7 schedule of promoting anti Semitism.,racism,0
244,244,244,3265,"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",sexism,1
246,246,246,1111,"@truaemusic @mattybboi83 @Number10gov Mohammed was a murderer, Jesus wasn't. Mohammed was a rapist, Jesus wasn't.",racism,0
252,252,252,1131,"@truaemusic Okay, show me where Buddha or Lao Tse ever hurt anyone or advocated anyone be hurt.",racism,0
253,253,253,5025,RT @cheuya: Don't rape-zone me,sexism,1
255,255,255,1788,@mutaSawwif There isn't even a remote comparison between Abu Grahib and those images. And what happens in those images represents Islam.,racism,0
257,257,257,2177,#killerblondes ?? Have the producers lost the plot or have my eyes failed? In what universe are they even remotely hot in?? #MKR,sexism,1
260,260,260,3729,RT @fruitondabottom: Because women have no voice!  #letwomenspeak #WomenAgainstFeminism http://t.co/jbTpUaMO1b,sexism,1
263,263,263,3161,.@abnormalcybias @manishlimbu532 ...women who are actually charged/convicted of it.  It's almost NEVER prosecuted. Cops just close the case.,sexism,1
265,265,265,3457,RT @uberfeminist: Did anybody get glass in the face during an American Sniper showing? These #FiftyShades fans play for keeps,sexism,1
270,270,270,4844,"*gag* @kissntheclown11 I love females but I swear everyone someone comes close to hittin my car, I look and it's a female. #NotSexist",sexism,1
271,271,271,4680,"RT @NateGutman: Just to clear things up, I don't skip female comedians because they're female. Just because they generally suck. #notsexist…",sexism,1
272,272,272,5082,"@xKilluminati_ I'm not sexist but the evolving semantics of ""literally"" is a female-led sociolinguistic phenomenon.",sexism,1
273,273,273,1705,@MaxBlumenthal @RaniaKhalek There was no Shujaiya massacre. The place was full of Blumenthal's terrorist friends and their weapons.,racism,0
277,277,277,5114,RT @ReidlosToof I have difficulty relating to protagonists that are tiny Japanese girls. Sorry. Call me sexist if that makes you feel better,sexism,1
279,279,279,3185,"@BristolBen @HumanistFury @ListenToRaisin Suspended, here under a new acct.  Stalked me for a day or so.  Legit ""issues.""  Kid gloves on...",sexism,1
284,284,284,4526,10-year-olds can't even get their license! @00SimmerforLife I'm not sexist but guy teachers are by far better than teachers that are girls,sexism,1
287,287,287,3299,"RT @TooPawned: @MT8_9 @j_millerworks no , man buy pink and store it in their man caves, just to mislead the market. Poor woman. #banpink",sexism,1
292,292,292,608,"@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime Scandinavian people will not be displaced by Jews, they'll be displaced by Muslim",racism,0
293,293,293,4923,"Wow, NO @mikehomosapien @sie_kensou77 @TrustedTrevor todays feminist thinks ""teach men not to rape"" is not sexist but it is",sexism,1
294,294,294,728,@westernreviews @hanna_bard Sometimes you have to go to the Hadiths to clarify the Quran.,racism,0
297,297,297,1702,@Rubiconski You must be one of Putin's army of paid internet trolls.  http://t.co/stp5NmjZRY http://t.co/IIZx95911L,racism,0
300,300,300,397,@yuskan0723 Here is how Muslims treat non Muslims. So fuck the genocidal Palestinians. http://t.co/nRozNv2fH8,racism,0
303,303,303,374,@blastedsilver This is another clear expression of how Islam thinks of women being owned by men.,racism,0
307,307,307,454,"RT @ElConfeti: SSSSHHH!  The silent Muslim majority, remains quiet. http://t.co/y2YldDW8qt",racism,0
310,310,310,2916,RT @PrinceLaQroix: @MT8_9 @philippenis 29 boys no girls killed isn't violence against boys 2 of 6 killed by Eliot Rodger = girls and is vio…,sexism,1
311,311,311,2233,"Yes, you put in the wrong way. Cue dumb blonde jokes. #MKR",sexism,1
313,313,313,4100,"Wow, not funny AND makes no sense @nhowe911 This transexual speaker said when she became a woman, she got worse at driving #proof #NotSexist",sexism,1
320,320,320,439,@Lithobolos @PoliticalAnt @ZaibatsuNews There should be no freedom to impose your religion on others. And that is what Islam is about.,racism,0
321,321,321,1735,@hamzayusuf @Malek_Ason @zaytunacollege Womderful. We are going to produce our own madrassa rat jihadis.,racism,0
324,324,324,641,@Agha_Memnun @BreitbartNews This is what Christians and other non Muslims have had to deal with for 1400 years in the Middle East.,racism,0
331,331,331,1507,@ardiem1m @MaxBlumenthal @oldkhayyam You think Hamas doesn't  practice cruel and inhuman treatment of Palestinians? Are you blind?,racism,0
337,337,337,75,RT @brassidio: Muslims don't have any morals. http://t.co/OO37AiucR9,racism,0
340,340,340,1366,@DianH4 Buddha forbid slavery 1100 years before Mohammed. Jesus had no slaves 600 years before Mohammed. But Mohammed was forced to have?,racism,0
341,341,341,186,@RiosJose559 What you said was incoherent.  But here is the proof that Islam declared war on all humanity. http://t.co/L4QpzH226Y,racism,0
343,343,343,649,@aliabdalhamid @izrinhariri Obviously you know nothing about your religion.  Permission to rape slave girls is in both Quran and Hadiths.,racism,0
347,347,347,4146,"RT @Peyton_Drinking: #NotSexist but is Erin Andrews the most average looking ""super talked about as a hottie"" ever?  Totally fine sports re…",sexism,1
348,348,348,529,@BilalIGhumman @OdiniaInvictus @IsraeliRegime That old line of BS.  There are over 100 Islamic terrorist orgs. No other religion is close.,racism,0
352,352,352,356,"@_enzk @SumbelinaZ @IronmanL1 @Hatewatch For example, 80% of all civilians killed in Afghanistan are killed by Taliban.",racism,0
359,359,359,4198,"RT @ElleDunc Call me sexist, but I preferred COD without this stupid chick.",sexism,1
360,360,360,1641,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative,racism,0
361,361,361,4778,"Original, breathtaking, inspiring @ipwnedyurmom @leeluuhbabyy_ course I do now get back to the kitchen #notsexist",sexism,1
366,366,366,1890,@dankmtl But no Muslims stop any other Muslims from carrying out their genocide. They only aid and applaud them.,racism,0
371,371,371,2593,Kat seriously turn it down... #mkr,sexism,1
372,372,372,2762,"RT @fee_bee_63: Kat - you're not a morning, lunchtime, evening person either. I'm not sure you're human. #mkr",sexism,1
376,376,376,4524,"RT @Justice_CHROME Now I'm definitely not sexist, but if you're gonna be awkwardly feminist I will call you ""poppet"" every-time I see you",sexism,1
378,378,378,3189,@sexyconserv  Both. My desire to play video games is never stronger than after sex.  Can finally focus on something other than sex...,sexism,1
387,387,387,4834,RT @ohthatliamm @YesYoureSexist I've watched a lot of female comedians do stand up and none of them humour me,sexism,1
388,388,388,1700,"@AdnanSadiq01 @PTISalarKhan What black and white, terrorist scum? There is zero evidence presented. Are you a madrassa graduate?",racism,0
398,398,398,1156,@jukes303 That's just as big a fallacy as the oil fallacy.  The US had zero to do with the creation of Al Queda.,racism,0
400,400,400,574,@ExposeFalsehood @arabthomness Mohammed was illiterate and superstitious and Islam's backwardness is catching up to it's Jihadis.,racism,0
401,401,401,4950,"RT @TooBadDJs I'm not sexist at all, but I don't want to watch a ghostbusters film with just women in it #SoSueMe",sexism,1
407,407,407,160,Notice 2/3 Muslims want Sharia and Sharia says that apostates must be killed. But only 1/3 support that directly. http://t.co/2GS6nNTRVj,racism,0
412,412,412,4814,ESPN doesn't care what you think. @Andrew_Doe24 I'm not sexist but female sports reporters need to come to an end. Immediately,sexism,1
414,414,414,776,"@OneLegSandpiper @DblBlackDs It already is a war.  Islam has been at war for 1400 years. Ignorant, cowardly people try to hide from the fact",racism,0
418,418,418,4528,"RT @AlexSummers92 I'm not sexist but.. ""What Ferrari was it?"" @Ellen_Skinner ""a red one""",sexism,1
420,420,420,4301,Men giving their opinions............:\ @OliPaterson I'm not sexist but,sexism,1
421,421,421,98,@HillaryGuess @riwired @izrinhariri Why are you flapping your lips.  None of this is related to the barbarity of Islam?,racism,0
422,422,422,4468,"RT @nikeenan: @YesYoureSexist look guy, every man has look at a woman's ass at one point or another I his life.",sexism,1
424,424,424,5269,RT @danhickey2199: #MKR #killerblondes the only way these girls are staying is if they blow every bloke in the room. So they're still in wi…,sexism,1
425,425,425,3173,"RT @sara771987: @adriennecgomez @MT8_9 there's too many people with common sense, sorry. We don't need to rely on feminism to bring about e…",sexism,1
426,426,426,1508,@ardiem1m @MaxBlumenthal @oldkhayyam Hamas throws their political opponents off roof tops. Is that your idea of humanity?,racism,0
431,431,431,3623,RT @ZionHorst: @MT8_9 @egyptinparadise https://t.co/oSSr7ASHGD a metaphor here somewhere.,sexism,1
434,434,434,1145,@jukes303 Islam created that monster and Islam has been creating them for 1400 years. http://t.co/PmntvTUQs4,racism,0
438,438,438,4574,RT @JiggaThatNigga_: @YesYoureSexist you don't understand my intent,sexism,1
439,439,439,4549,RT @kieranMDK I'm not sexist but women comedians are fucking shit,sexism,1
440,440,440,3146,RT @wiemanindenwald: @MT8_9 Feminism is a snoring issue.,sexism,1
441,441,441,2618,"Whatya know, Kat is still a cunt! #MKR",sexism,1
451,451,451,4803,"Has to be a parody account. @TheHout I'm not sexist, but women just shouldn't be sports announcers.",sexism,1
454,454,454,1452,"RT @arisroussinos: Literally, every single approach road or track or open field to Mosul is covered by Peshmerga outposts now http://t.co/Y…",racism,0
455,455,455,5297,Has anyone else wondered if Kat has recently escaped the psych ward? 😳😳😳 #mkr2015 #mkr,sexism,1
458,458,458,526,@98Halima @johnnygjokaj @cdnKhadija @BilalIGhumman @rfrankh53 The battles were won because Mohammed gave his thugs 80% of what they stole.,racism,0
461,461,461,2817,"@Ammaawah @jm111t Come on Ammarrah, have some pride and dignity.  Believe in yourself.  Don't let Islam make you inferior.",sexism,1
463,463,463,2339,"@LaniG134 Kat has more of a football head,  I see her head and just want to kick it #MKR",sexism,1
469,469,469,1459,"@Bruciebabe @MaxBlumenthal In many Gulf states, like Saudi, there are zero minorities left due to Islamic bigotry and apartheid.",racism,0
477,477,477,3868,"RT @asredasmyhair: Feminists, take note. #FemFreeFriday #WomenAgainstFeminism http://t.co/J2HqzVJ8Cx",sexism,1
485,485,485,320,"@JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch There have been 22,000 Islamic terrorist attacks since 9/11.",racism,0
494,494,494,4662,"I'm assuming this isn't as deep as ""ceci n'est pas une pipe"" @Nucka_Juice: Girls sports are not sports #notsexist #justfacts",sexism,1
503,503,503,485,@_Ibn_Latif @Colonel_Shami Mohammed hid behind a trench in Medina when the Meccan army showed up.  So I guess he was a coward for that also.,racism,0
505,505,505,1190,"@MiddleEastEye If you want to understand ISIS, understand Islam. They are exactly the same.",racism,0
513,513,513,3266,"""@ErikssonMalin85: #QuestionsForMen ever walked home in dark seen another person and becomed scared?""  Men are attacked 4 times more often.",sexism,1
520,520,520,984,"@Love___Egypt @washingtonpost Islam is a pile of hatred, murder, bigotry, sexism.  Islam is filth that has divided and destroyed mankind.",racism,0
531,531,531,405,@yuskan0723 The prophet Mohammed was a caravan robber who declared war on all humanity. Hope the Jews recover their stolen land.,racism,0
535,535,535,3790,RT @MGTOWKnight: @FactsVsOpinion @MT8_9 What is often *called* feminism now is not what is defined by the dictionary. Same thing,sexism,1
538,538,538,3834,"RT @moderncomments: *Drinks wine, laughs* RT @AmeliaHammy: Hahahahahha RT @LibertarianSass: Presented without comment http://t.co/vvHccavOgj",sexism,1
540,540,540,3190,"So, feminists will trend #FeministsAreUgly and then complain how the fact #FeministsAreUgly is trending is proof of misogyny in society.  K.",sexism,1
546,546,546,1050,"@discerningmumin Islam is a pile of manure that destroys human freedom, human life, human expression and creates endless divisiveness.",racism,0
547,547,547,617,"@Dabiq_Warrior @Totenleserin @P_Valerianus @CaliphFaggoti Buildings are not as valuable as the men you lost, even if they were rats.",racism,0
549,549,549,2889,"RT @Charlotte1776: #TweetLikeAFeminist Grandad nearly died working in coal mines, but grandma was the REAL victim for having to cook the fo…",sexism,1
551,551,551,224,@IftikharAwan The Muslims relationship to god is fear.  He is told to fear Allah again and again in the Quran.,racism,0
558,558,558,3167,@JakePentland @ListenToRaisin Rock is much closer to Socrates than most know...,sexism,1
560,560,560,3033,@aussielung Conversely @Shermertron is a good guy and egalitarian.,sexism,1
565,565,565,1572,@MoonNor27 The Shia militia are terrorists that are only slightly better than ISIS. Look at the Shia militia in Yemen.,racism,0
567,567,567,2316,Cant believe the blonde bimboz made it through.That sausage looked like feces #MKR,sexism,1
571,571,571,2833,"@CavusSeyit ROFL. I just looked at who you follow, and I see three of Oktar's bimbos on your list.  Yeap, I can always smell an Oktar zombie",sexism,1
574,574,574,2914,.@philippenis @DannyVelasco I made up nothing. A stoner said that and you are too ignorant of world events to know he's wrong. #sorryitsaboy,sexism,1
575,575,575,2672,@callmemrcarter: I hope Kat gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel #mkr #katandandre #mkrkat,sexism,1
581,581,581,5314,Kat is so delusional that Annie has a better grip on reality 😣 #MKR2015 #mkr,sexism,1
588,588,588,535,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 The stupidist arguments are the ones rationalizing the barbarity of Islam.,racism,0
589,589,589,2060,They starting to act and look like a couple of B grade hookers to me #MKR,sexism,1
597,597,597,3103,RT @TehMenz: #QuestionsForMen did you know that when you look at a girl - you rape her? http://t.co/glPlA1So3a,sexism,1
599,599,599,3725,"@Flynnicism Thanks.  I find the word ""actually"" unnecessary in that sentence, but...thanks.",sexism,1
601,601,601,1745,"@nine11inreverse Another race baiting idiot. If it were about ""brown men"" I would hate Hinduism and Buddhism and Tao. But I only hate Islam.",racism,0
603,603,603,1714,@harmlesstree2 Your pedophile Prophet made it exceedingly clear what his intentions were for Jews and Christians. http://t.co/gVJcnOh5bm,racism,0
606,606,606,4657,"Fuck off forever, dickweed. @RedDogRoberts: @LtotheEWIS women can't park. #notsexist #fact",sexism,1
612,612,612,5241,.@mark_kaiserr Im not sexist but every food place I work at the girls come in for a couple hours to answer phones &amp,sexism,1
617,617,617,1913,@MaxBlumenthal @Ajzionts Max Blumenthal's Muslim friends busy raping Christian girls around the world. http://t.co/liSKP9U8Uq,racism,0
618,618,618,5121,RT @J_Cassinelli In 1814 women had no rights. In 1914 women fought for rights. In 2014 women were always right. It's a new year. #notsexist,sexism,1
624,624,624,4893,"RT @TheBigKahuna12 I'm not sexist, but I'm just not a fan of all these women rappers.",sexism,1
627,627,627,1587,@haroonstyles @biebervalue @greenlinerzjm @halalflaws Mohammed raped Aishia when she was 9. http://t.co/7moZbSqhpG,racism,0
632,632,632,3077,.@WayJamesO Yep. The Coyotes. They have an out in 2-3 years. #NHL would have gone to Seattle.  But no building. Vegas will get them instead.,sexism,1
637,637,637,4698,"Don't need it. @mshaysoul I'm not sexist but with each post and bitter comment I have less and less sympathy for the female ""struggle""",sexism,1
639,639,639,2311,RT @_maxius_: These girls really put the ASS in sass #mkr,sexism,1
641,641,641,5319,Hey Kat.. 😂😂😂😂😂 Karma is a bitch!  #mkr,sexism,1
643,643,643,2417,Kat and Andre shouldn't be there they suck dick holes. The moles win my vote with the burnt butter icecream #mkr,sexism,1
648,648,648,4054,@reeealbigsean the reason that ship sank and those guys died is because there is a woman on board of the Maverick. #notsexist #superstitious,sexism,1
656,656,656,505,@LifeInKhilafah Daesh price list for Yezidi and Christian sex slaves. http://t.co/H4ELrfxhSm,racism,0
657,657,657,828,"After watching the Shia militia beat a Peshmerga to death, I've concluded that they are animals, just like ISIS. #Islam #Iraq #Kobane",racism,0
660,660,660,1502,"@NuritBaytch @MaxBlumenthal  Impossible to understand how people like Blumenthal can rant, given 1400 years of abuse of Jews by Muslims.",racism,0
665,665,665,4138,Good thing you'll never get the opportunity. @ItsJonTyler I just don't feel safe driving with any girl call me sexist,sexism,1
666,666,666,3865,@TamedInsanity Jessica is a special type of human feces.,sexism,1
667,667,667,3824,"RT @WRCorg: UCLA Women's Law Group Libels CHS, Then Tries to Hide it. #womenagainstfeminism http://t.co/NFqIgwK88y",sexism,1
669,669,669,2328,Still moist and juicy... Let's take a selfie.. #MKR,sexism,1
